set	indicator	observed_loci	null_locus_mean	null_locus_sd	fold_enrichment	empirical_p_upper	n_permutations
observed_exact_non_eqtl	abc_nasser_any_same_gene	52	1.177	1.0873187807931641	44.18011894647408	0.0004997501249375312	2000
observed_exact_non_eqtl	abc_nasser_score_ge_0_05_same_gene	14	0.214	0.46185566503796815	65.42056074766356	0.0004997501249375312	2000
observed_exact_non_eqtl	abc_nasser_score_ge_0_10_same_gene	6	0.1205	0.33917144430850477	49.79253112033195	0.0004997501249375312	2000
moderate_exact_non_eqtl	abc_nasser_any_same_gene	49	1.026	0.982754752444233	47.758284600389864	0.0004997501249375312	2000
moderate_exact_non_eqtl	abc_nasser_score_ge_0_05_same_gene	13	0.183	0.41904510425454183	71.03825136612022	0.0004997501249375312	2000
moderate_exact_non_eqtl	abc_nasser_score_ge_0_10_same_gene	6	0.1065	0.3274314518763262	56.33802816901409	0.0004997501249375312	2000
hidden_exact_non_eqtl	abc_nasser_any_same_gene	3	0.113	0.32906707913628436	26.548672566371682	0.0004997501249375312	2000
hidden_exact_non_eqtl	abc_nasser_score_ge_0_05_same_gene	1	0.035	0.1838257216712993	28.57142857142857	0.03548225887056472	2000
hidden_exact_non_eqtl	abc_nasser_score_ge_0_10_same_gene	0	0.0	0.0	inf	1.0	2000
lower_recurrence_exact	abc_nasser_any_same_gene	34	0.5635	0.7377261483334907	60.33717834960071	0.0004997501249375312	2000
lower_recurrence_exact	abc_nasser_score_ge_0_05_same_gene	9	0.112	0.33393375971581396	80.35714285714286	0.0004997501249375312	2000
lower_recurrence_exact	abc_nasser_score_ge_0_10_same_gene	4	0.1015	0.3069932775098147	39.408866995073886	0.0004997501249375312	2000
core_exact_n10	abc_nasser_any_same_gene	21	0.56	0.7305250395549138	37.49999999999999	0.0004997501249375312	2000
core_exact_n10	abc_nasser_score_ge_0_05_same_gene	5	0.1	0.3147213446247032	50.0	0.0004997501249375312	2000
core_exact_n10	abc_nasser_score_ge_0_10_same_gene	2	0.0155	0.12356125481657237	129.03225806451613	0.0004997501249375312	2000
systemic_non_neural_exact	abc_nasser_any_same_gene	25	0.495	0.6900819564032061	50.505050505050505	0.0004997501249375312	2000
systemic_non_neural_exact	abc_nasser_score_ge_0_05_same_gene	8	0.092	0.2993005018291777	86.95652173913044	0.0004997501249375312	2000
systemic_non_neural_exact	abc_nasser_score_ge_0_10_same_gene	3	0.0305	0.17488579851223093	98.36065573770492	0.0004997501249375312	2000
