model	unit	outcome	term	scale	n	events	odds_ratio	ci95_low	ci95_high	wald_p	converged
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	moderate_locus	binary	1630	807	3.0168882080705193	1.795432382982715	5.069316197179547	3.0424946089850128e-05	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	family_breadth_ge5	binary	1630	807	0.55800642140317	0.3608129476036824	0.8629711555395256	0.008728967044901254	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	max_n_families	per_1_sd	1630	807	2.2843151048507946	1.4944365271337976	3.4916809135128406	0.0001357670694255192	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	max_n_traits	per_1_sd	1630	807	1.7475808031903437	1.2343561822335098	2.4741956233032076	0.001649915485112298	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	lower_recurrence_locus	binary	1630	807	2.392387566397628	1.5790403640619053	3.6246814192455807	3.871218611652139e-05	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	systemic_non_neural_locus	binary	1630	807	0.9441257136081352	0.6906800108428899	1.2905735638827296	0.7184588999005982	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	strict_variant_count	per_1_sd	1630	807	1.3615096191040275	1.0827502706648502	1.7120369240587177	0.008285531871544027	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	max_qtl_gene_count	per_1_sd	1630	807	1.9241101984729025	1.6015278900883387	2.311667551205257	2.7440498141143307e-12	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	max_screen_gene_count	per_1_sd	1630	807	1.5377954410175811	1.2905418205316044	1.8324201360947252	1.4942202426262659e-06	True
primary_evidence_disjoint_convergence	strict_eligible_500kb_locus	has_exact_convergence	max_score	per_1_sd	1630	807	0.6878333153501816	0.5855048771444319	0.8080456511533288	5.274869418880507e-06	True
