set	indicator	observed_loci	null_locus_mean	null_locus_sd	fold_enrichment	empirical_p_upper	n_permutations
observed_exact_non_eqtl	eqtl_catalogue_any_same_gene	216	17.4985	3.183090288051997	12.343915192730806	0.0004997501249375312	2000
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1_same_gene	62	6.2825	1.6334098578990948	9.868682849184243	0.0004997501249375312	2000
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_5_same_gene	20	1.1635	1.0090970659179532	17.189514396218307	0.0004997501249375312	2000
moderate_exact_non_eqtl	eqtl_catalogue_any_same_gene	198	12.319	2.936077191532491	16.072733176394188	0.0004997501249375312	2000
moderate_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1_same_gene	55	3.3235	1.4187509214405973	16.548819016097486	0.0004997501249375312	2000
moderate_exact_non_eqtl	eqtl_catalogue_pip_ge_0_5_same_gene	18	0.932	0.8767898152864774	19.313304721030043	0.0004997501249375312	2000
hidden_exact_non_eqtl	eqtl_catalogue_any_same_gene	26	5.506	1.4003372708873096	4.72212132219397	0.0004997501249375312	2000
hidden_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1_same_gene	9	2.97	0.8033820457015938	3.0303030303030303	0.0004997501249375312	2000
hidden_exact_non_eqtl	eqtl_catalogue_pip_ge_0_5_same_gene	3	0.214	0.4373781542611753	14.018691588785048	0.0004997501249375312	2000
lower_recurrence_exact	eqtl_catalogue_any_same_gene	140	7.38	2.257021726421075	18.97018970189702	0.0004997501249375312	2000
lower_recurrence_exact	eqtl_catalogue_pip_ge_0_1_same_gene	39	2.2645	1.076159286260497	17.22234488849636	0.0004997501249375312	2000
lower_recurrence_exact	eqtl_catalogue_pip_ge_0_5_same_gene	10	0.421	0.6260630778833267	23.752969121140143	0.0004997501249375312	2000
core_exact_n10	eqtl_catalogue_any_same_gene	94	10.2725	2.4265588482297233	9.150644925772694	0.0004997501249375312	2000
core_exact_n10	eqtl_catalogue_pip_ge_0_1_same_gene	24	4.035	1.2492218688602996	5.947955390334572	0.0004997501249375312	2000
core_exact_n10	eqtl_catalogue_pip_ge_0_5_same_gene	10	0.7525	0.7940774707260984	13.2890365448505	0.0004997501249375312	2000
systemic_non_neural_exact	eqtl_catalogue_any_same_gene	89	5.5225	1.906649261322819	16.115889542779538	0.0004997501249375312	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1_same_gene	23	0.765	0.8307346507941118	30.065359477124183	0.0004997501249375312	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_5_same_gene	8	0.296	0.5315310551899255	27.027027027027028	0.0004997501249375312	2000
