set	holdout	mode	loci	multi_gene_loci	heldout_supported_loci_any_candidate	observed_loci	null_locus_mean	null_locus_sd	fold_enrichment	empirical_p_upper	n_permutations
lower_recurrence_exact	ot_coloc_h4_ge_0_8	top1_vs_uniform_local_gene_null	543	229	179	164	138.8125	4.075739144595419	1.1814497973885638	0.0004997501249375312	2000
lower_recurrence_exact	ot_coloc_h4_ge_0_8	top1_vs_gene_degree_local_gene_null	543	229	179	164	150.1345	3.918046106498279	1.0923538560424153	0.0004997501249375312	2000
lower_recurrence_exact	ot_coloc_h4_ge_0_8	top1_vs_distance_weighted_local_gene_null	543	229	179	164	141.3985	3.712490948746173	1.1598425725874035	0.0004997501249375312	2000
lower_recurrence_exact	ot_coloc_h4_ge_0_8	top3_vs_uniform_local_gene_null	543	229	179	175	171.443	2.0368665672317254	1.0207474204254474	0.06046976511744128	2000
lower_recurrence_exact	ot_coloc_h4_ge_0_8	nearest_gene_baseline_descriptive	543	229	179	136					
moderate_exact_non_eqtl	ot_coloc_h4_ge_0_8	top1_vs_uniform_local_gene_null	738	318	252	229	189.1355	5.1717998324329395	1.2107721712740336	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_coloc_h4_ge_0_8	top1_vs_gene_degree_local_gene_null	738	318	252	229	207.2605	4.990199474509781	1.1048897402061657	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_coloc_h4_ge_0_8	top1_vs_distance_weighted_local_gene_null	738	318	252	229	193.815	4.619571973961581	1.1815390965611536	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_coloc_h4_ge_0_8	top3_vs_uniform_local_gene_null	738	318	252	247	241.296	2.532901852796107	1.0236390159803728	0.01649175412293853	2000
moderate_exact_non_eqtl	ot_coloc_h4_ge_0_8	nearest_gene_baseline_descriptive	738	318	252	188					
observed_exact_non_eqtl	ot_coloc_h4_ge_0_8	top1_vs_uniform_local_gene_null	807	341	267	242	201.441	5.219592040623028	1.2013443142160731	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_coloc_h4_ge_0_8	top1_vs_gene_degree_local_gene_null	807	341	267	242	219.813	5.10853007623229	1.1009357954261123	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_coloc_h4_ge_0_8	top1_vs_distance_weighted_local_gene_null	807	341	267	242	206.95	4.681929114170254	1.1693645808166224	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_coloc_h4_ge_0_8	top3_vs_uniform_local_gene_null	807	341	267	262	255.7755	2.541127390393308	1.0243357944760152	0.012993503248375811	2000
observed_exact_non_eqtl	ot_coloc_h4_ge_0_8	nearest_gene_baseline_descriptive	807	341	267	200					
systemic_non_neural_exact	ot_coloc_h4_ge_0_8	top1_vs_uniform_local_gene_null	379	150	136	129	106.834	3.512066529217923	1.2074807645506112	0.0004997501249375312	2000
systemic_non_neural_exact	ot_coloc_h4_ge_0_8	top1_vs_gene_degree_local_gene_null	379	150	136	129	115.222	3.4344743130359054	1.1195778583950982	0.0004997501249375312	2000
systemic_non_neural_exact	ot_coloc_h4_ge_0_8	top1_vs_distance_weighted_local_gene_null	379	150	136	129	109.863	3.1585153331201	1.1741896725922285	0.0004997501249375312	2000
systemic_non_neural_exact	ot_coloc_h4_ge_0_8	top3_vs_uniform_local_gene_null	379	150	136	135	131.737	1.5352555177404106	1.0247690474202389	0.02948525737131434	2000
systemic_non_neural_exact	ot_coloc_h4_ge_0_8	nearest_gene_baseline_descriptive	379	150	136	110					
lower_recurrence_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_uniform_local_gene_null	543	229	44	33	23.616	2.5514307553703524	1.3973577235772359	0.0004997501249375312	2000
lower_recurrence_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_gene_degree_local_gene_null	543	229	44	33	28.352	2.6787466923770453	1.1639390519187358	0.057971014492753624	2000
lower_recurrence_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_distance_weighted_local_gene_null	543	229	44	33	26.7615	2.5779722109363745	1.2331147357210919	0.013493253373313344	2000
lower_recurrence_exact	eqtl_catalogue_pip_ge_0_1	top3_vs_uniform_local_gene_null	543	229	44	42	39.779	1.431496975824922	1.055833479976872	0.10694652673663169	2000
lower_recurrence_exact	eqtl_catalogue_pip_ge_0_1	nearest_gene_baseline_descriptive	543	229	44	32					
moderate_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top1_vs_uniform_local_gene_null	738	318	59	42	30.089	2.8480053664422127	1.3958589517763969	0.0004997501249375312	2000
moderate_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top1_vs_gene_degree_local_gene_null	738	318	59	42	36.2825	3.0953973076563406	1.1575828567491215	0.04147926036981509	2000
moderate_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top1_vs_distance_weighted_local_gene_null	738	318	59	42	34.539	2.7772892661431428	1.216016676800139	0.0074962518740629685	2000
moderate_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top3_vs_uniform_local_gene_null	738	318	59	54	50.7195	1.9969510902444294	1.0646792653713069	0.08295852073963018	2000
moderate_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	nearest_gene_baseline_descriptive	738	318	59	39					
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top1_vs_uniform_local_gene_null	807	341	62	47	31.3095	2.8482917921214694	1.5011418259633658	0.0004997501249375312	2000
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top1_vs_gene_degree_local_gene_null	807	341	62	47	37.6695	3.0703392714194973	1.2476937575492109	0.001999000499750125	2000
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top1_vs_distance_weighted_local_gene_null	807	341	62	47	36.701	2.748522546404531	1.2806190567014522	0.0009995002498750624	2000
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top3_vs_uniform_local_gene_null	807	341	62	56	51.9135	2.1822921320196196	1.0787174819651921	0.050974512743628186	2000
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	nearest_gene_baseline_descriptive	807	341	62	42					
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_uniform_local_gene_null	379	150	27	22	14.0755	1.936149293583406	1.562999538204682	0.0004997501249375312	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_gene_degree_local_gene_null	379	150	27	22	17.0905	2.1077312484061514	1.2872648547438637	0.015992003998001	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_distance_weighted_local_gene_null	379	150	27	22	15.697	1.8721494255897064	1.401541695865452	0.0004997501249375312	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	top3_vs_uniform_local_gene_null	379	150	27	25	23.2305	1.3473223031978454	1.0761714125825963	0.1724137931034483	2000
