set	indicator	observed_loci	null_locus_mean	null_locus_sd	fold_enrichment	empirical_p_upper	n_permutations
observed_exact_non_eqtl	ot_coloc_any_gene_agree	306	22.0755	3.4753184989774195	13.861520690358088	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_coloc_h4_ge_0_5_gene_agree	276	20.722	3.4577006589529207	13.319177685551587	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_coloc_h4_ge_0_8_gene_agree	267	19.995	3.4051097465710405	13.353338334583645	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_coloc_clpp_ge_0_01_gene_agree	228	18.0275	3.026933252064906	12.647344335043684	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_coloc_any_gene_agree	280	15.9665	3.182364132329198	17.536717502270378	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_coloc_h4_ge_0_5_gene_agree	253	15.2335	3.0496931098115456	16.60813339022549	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_coloc_h4_ge_0_8_gene_agree	246	15.0915	3.107564356230464	16.300566544081104	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_coloc_clpp_ge_0_01_gene_agree	209	13.535	2.8740050369608325	15.441448097524935	0.0004997501249375312	2000
hidden_exact_non_eqtl	ot_coloc_any_gene_agree	34	6.252	1.5980528421936557	5.438259756877799	0.0004997501249375312	2000
hidden_exact_non_eqtl	ot_coloc_h4_ge_0_5_gene_agree	31	5.916	1.4659531060899005	5.240027045300879	0.0004997501249375312	2000
hidden_exact_non_eqtl	ot_coloc_h4_ge_0_8_gene_agree	29	5.196	1.3955492749772203	5.581216320246344	0.0004997501249375312	2000
hidden_exact_non_eqtl	ot_coloc_clpp_ge_0_01_gene_agree	26	4.6645	1.2548813145300948	5.574016507664273	0.0004997501249375312	2000
lower_recurrence_exact	ot_coloc_any_gene_agree	189	8.7615	2.462651025833242	21.571648690292758	0.0004997501249375312	2000
lower_recurrence_exact	ot_coloc_h4_ge_0_5_gene_agree	173	8.5775	2.4244448264207166	20.169046925094722	0.0004997501249375312	2000
lower_recurrence_exact	ot_coloc_h4_ge_0_8_gene_agree	167	8.391	2.332346226326557	19.90227624836134	0.0004997501249375312	2000
lower_recurrence_exact	ot_coloc_clpp_ge_0_01_gene_agree	139	7.414	2.190891143348067	18.74831400053952	0.0004997501249375312	2000
core_exact_n10	ot_coloc_any_gene_agree	148	14.033	2.701214408305979	10.546568802109315	0.0004997501249375312	2000
core_exact_n10	ot_coloc_h4_ge_0_5_gene_agree	131	13.2255	2.507148309598609	9.905107557370231	0.0004997501249375312	2000
core_exact_n10	ot_coloc_h4_ge_0_8_gene_agree	128	12.4915	2.5343913114710266	10.246967938197974	0.0004997501249375312	2000
core_exact_n10	ot_coloc_clpp_ge_0_01_gene_agree	112	11.3935	2.4287048098784596	9.83016632290341	0.0004997501249375312	2000
systemic_non_neural_exact	ot_coloc_any_gene_agree	140	6.291	2.0829038009764305	22.25401367032268	0.0004997501249375312	2000
systemic_non_neural_exact	ot_coloc_h4_ge_0_5_gene_agree	130	6.03	2.086450727508119	21.558872305140962	0.0004997501249375312	2000
systemic_non_neural_exact	ot_coloc_h4_ge_0_8_gene_agree	127	5.9885	2.0212398311995567	21.207314018535527	0.0004997501249375312	2000
systemic_non_neural_exact	ot_coloc_clpp_ge_0_01_gene_agree	113	5.689	1.9930542221842042	19.862893302865178	0.0004997501249375312	2000
