set	indicator	observed_loci	null_locus_mean	null_locus_sd	fold_enrichment	empirical_p_upper	n_permutations
permutation_tested_non_eqtl	ot_gwas_cs_position_any	521	559.5705	7.855181836905205	0.9310712412466347	1.0	2000
permutation_tested_non_eqtl	ot_gwas_ld_proxy_r2_ge_0_8	291	329.3235	5.472734523214221	0.8836296225443978	1.0	2000
permutation_tested_non_eqtl	ot_gwas_ld_proxy_r2_ge_0_6	429	470.942	6.769457051668708	0.9109402007041206	1.0	2000
permutation_tested_non_eqtl	ot_gwas_cs_pip_ge_0_01	397	433.8775	6.567043229520361	0.9150048112658526	1.0	2000
permutation_tested_non_eqtl	ot_gwas_cs_pip_ge_0_05	191	201.6115	3.653524581953085	0.9473665936714919	0.9975012493753124	2000
permutation_tested_non_eqtl	ot_gwas_cs_pip_ge_0_10	123	129.0635	2.3567445496778427	0.9530192502140419	0.9955022488755623	2000
observed_exact_non_eqtl	ot_gwas_cs_position_any	385	392.971	8.481929648687418	0.9797160604726557	0.8435782108945528	2000
observed_exact_non_eqtl	ot_gwas_ld_proxy_r2_ge_0_8	214	236.555	6.818520448789113	0.904652195049777	0.9995002498750625	2000
observed_exact_non_eqtl	ot_gwas_ld_proxy_r2_ge_0_6	316	337.2435	7.832744326980546	0.9370084226975465	0.9985007496251874	2000
observed_exact_non_eqtl	ot_gwas_cs_pip_ge_0_01	284	299.5865	7.652633478063272	0.9479732898511782	0.9830084957521239	2000
observed_exact_non_eqtl	ot_gwas_cs_pip_ge_0_05	122	133.062	5.409878870612294	0.9168658219476634	0.9850074962518741	2000
observed_exact_non_eqtl	ot_gwas_cs_pip_ge_0_10	75	83.1655	4.2857080391340645	0.9018162579434983	0.9735132433783108	2000
non_exact_tested	ot_gwas_cs_position_any	190	218.6615	7.692691759277219	0.8689229699787114	1.0	2000
non_exact_tested	ot_gwas_ld_proxy_r2_ge_0_8	95	111.1	6.286156049521796	0.8550855085508551	0.9955022488755623	2000
