set	indicator	observed_loci	null_locus_mean	null_locus_sd	fold_enrichment	empirical_p_upper	n_permutations
permutation_tested_non_eqtl	ot_l2g_gene_agree_score_ge_0_05	312	21.6375	3.409678387084576	14.41941074523397	0.0004997501249375312	2000
permutation_tested_non_eqtl	ot_l2g_top_gene_agree	241	16.8575	3.0724442561018788	14.296307281625388	0.0004997501249375312	2000
permutation_tested_non_eqtl	ot_l2g_e2g_gene_agree	268	19.5245	3.3475368185242846	13.726343824425722	0.0004997501249375312	2000
permutation_tested_non_eqtl	ot_l2g_coloc_gene_agree	261	19.846	3.3278854263188435	13.151264738486345	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_l2g_gene_agree_score_ge_0_05	312	21.5505	3.4788649011567343	14.477622328948284	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_l2g_top_gene_agree	241	17.143	3.0708738386763033	14.05821618153182	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_l2g_e2g_gene_agree	268	19.559	3.2819056129368063	13.702132010839	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_l2g_coloc_gene_agree	261	19.697	3.228684438219505	13.250748845001777	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_l2g_gene_agree_score_ge_0_05	288	16.3005	3.3392776370899115	17.66816968804638	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_l2g_top_gene_agree	220	12.209	2.8283066770295022	18.01949381603735	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_l2g_e2g_gene_agree	251	14.976	3.0741094766675547	16.76014957264957	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_l2g_coloc_gene_agree	239	14.766	3.0546537372879703	16.185832317486117	0.0004997501249375312	2000
hidden_exact_non_eqtl	ot_l2g_gene_agree_score_ge_0_05	35	5.7135	1.5302249979242057	6.125842303316706	0.0004997501249375312	2000
hidden_exact_non_eqtl	ot_l2g_top_gene_agree	29	5.24	1.3810697581362137	5.534351145038167	0.0004997501249375312	2000
hidden_exact_non_eqtl	ot_l2g_e2g_gene_agree	27	4.9425	1.2794577977127906	5.462822458270106	0.0004997501249375312	2000
hidden_exact_non_eqtl	ot_l2g_coloc_gene_agree	30	5.1355	1.3656764939556774	5.841690195696621	0.0004997501249375312	2000
lower_recurrence_exact	ot_l2g_gene_agree_score_ge_0_05	192	8.879	2.511077807611293	21.624056763149003	0.0004997501249375312	2000
lower_recurrence_exact	ot_l2g_top_gene_agree	141	6.6115	1.980790123853958	21.32647659381381	0.0004997501249375312	2000
lower_recurrence_exact	ot_l2g_e2g_gene_agree	163	8.1445	2.2545867316795185	20.013506047025597	0.0004997501249375312	2000
lower_recurrence_exact	ot_l2g_coloc_gene_agree	159	8.2515	2.32700563549249	19.269223777495	0.0004997501249375312	2000
core_exact_n10	ot_l2g_gene_agree_score_ge_0_05	150	13.647	2.6617538328578334	10.991426687183996	0.0004997501249375312	2000
core_exact_n10	ot_l2g_top_gene_agree	119	10.9095	2.484229346844583	10.907924286172602	0.0004997501249375312	2000
core_exact_n10	ot_l2g_e2g_gene_agree	130	12.309	2.449391507983093	10.561377853603055	0.0004997501249375312	2000
core_exact_n10	ot_l2g_coloc_gene_agree	127	12.432	2.509486952024495	10.215572715572716	0.0004997501249375312	2000
systemic_non_neural_exact	ot_l2g_gene_agree_score_ge_0_05	143	6.2695	2.1298210767361314	22.808836430337347	0.0004997501249375312	2000
systemic_non_neural_exact	ot_l2g_top_gene_agree	110	4.9595	1.9033315753023095	22.179655207178143	0.0004997501249375312	2000
systemic_non_neural_exact	ot_l2g_e2g_gene_agree	127	5.778	2.0111534921990892	21.97992384908273	0.0004997501249375312	2000
systemic_non_neural_exact	ot_l2g_coloc_gene_agree	121	5.8485	2.003385765963119	20.689065572368985	0.0004997501249375312	2000
