gene_symbol	variants	broad_loci_500kb	axes	axis_count	score_bands	source_sets	single_gene_variant_count	three_dimensional_link_count	crispr_link_count	catalog_distinct_exact_rsid_count	max_n_traits	max_n_families	median_max_score	example_variants
CIAO1	4	3	neuro_systemic;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	10	6	0.2578827	rs2278564;rs11687113;rs596069;rs7608621
PPTC7	3	3	neuro_systemic;systemic_non_neural;systemic_other	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	16	8	0.20180154	rs684596;rs1027949;rs3759382
STARD7	3	3	neuro_systemic;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	10	6	0.263879	rs2278564;rs11687113;rs7608621
SLAIN2	3	3	neuro_systemic;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	11	5	0.36897302	rs10938546;rs7659164;rs2289433
PPP1CC	3	3	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	3	0	3	9	4	0.22155307	rs11065687;rs1027949;rs3759382
ADRA2B	4	2	mixed_trait_axis;neuro_systemic;systemic_non_neural;systemic_other	4	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	4	0	4	20	10	0.30083821499999996	rs2969478;rs2579551;rs4907301;rs11687113
TRIM69	4	2	neuro_systemic;systemic_non_neural;systemic_other	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	4	0	4	12	8	0.2571249	rs3759871;rs2706475;rs2255235;rs3759878
CEACAM1	4	2	neural_enriched;neuro_systemic;systemic_non_neural	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	4	0	4	11	5	0.239143125	rs75171220;rs75434673;rs10422283;rs11668599
ATP2A2	4	2	neuro_systemic;systemic_non_neural;systemic_other	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	16	8	0.2261191	rs684596;rs7304243;rs11829321;rs3759382
NUMA1	3	2	neural_enriched;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	3	0	3	16	6	0.2546231	rs552966;rs6592327;rs567026
ARHGAP35	3	2	neural_enriched;neuro_systemic;systemic_other	3	moderate_0.2_0.5	lower_recurrence_exact	2	3	0	3	6	4	0.2091278	rs1052669;rs311358;rs11548674
IFT81	3	2	neuro_systemic;systemic_non_neural;systemic_other	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	3	0	3	16	8	0.20827635	rs684596;rs7304243;rs11832936
DTD2	3	2	neural_enriched;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	3	0	3	10	4	0.24746436	rs5025288;rs3887865;rs1548057
ARPC3	3	2	neuro_systemic;systemic_non_neural;systemic_other	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	16	8	0.24070561	rs684596;rs11829321;rs16940902
ITFG1	3	2	mixed_trait_axis;neuro_systemic;systemic_non_neural	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	12	8	0.23537964	rs12931879;rs7200954;rs8054039
PHKB	3	2	mixed_trait_axis;neuro_systemic;systemic_non_neural	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	12	8	0.23537964	rs12931879;rs7200954;rs8054039
AIMP2	3	2	neuro_systemic;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10	0	3	0	3	13	7	0.3111871	rs889964;rs1805319;rs2286680
EIF2AK1	3	2	neuro_systemic;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10	0	3	0	3	13	7	0.3111871	rs889964;rs1805319;rs2286680
RGS9	5	2	neuro_systemic;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	5	0	5	34	10	0.32481235	rs4791250;rs7212449;rs17685439;rs62065481;rs5022415
COPG2	4	2	mixed_trait_axis;neuro_systemic	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	4	4	0	4	21	9	0.19542546	rs4731694;rs4731695;rs2302826;rs765205
SMURF2	4	2	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	4	0	4	18	8	0.21215145	rs2521880;rs7225993;rs3744409;rs9905016
CEP95	4	2	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	18	7	0.20821644	rs2521880;rs3744409;rs9905016;rs6504234
CD55	3	2	neural_enriched;neuro_systemic	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	3	3	0	3	17	8	0.16915725	rs12075933;rs891375;rs7543742
RGS3	3	2	neuro_systemic;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	11	7	0.23403314	rs7046202;rs7857217;rs72761965
PPCDC	3	2	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	14	6	0.21477643	rs1561893;rs11638544;rs7172715
TP53I3	3	2	neuro_systemic;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	3	3	0	3	9	4	0.31299365	rs6733127;rs6748701;rs2339925
ZDHHC14	3	2	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	15	4	0.32363322	rs77137580;rs9457715;rs4709360
C15ORF40	3	2	neuro_systemic;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	3	0	3	10	7	0.23877503	rs10152258;rs1037403;rs3816450
MAP4	3	2	neural_enriched;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	3	0	3	13	6	0.21527304	rs6776963;rs17079910;rs11711953
SETD7	3	2	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	1	3	0	3	7	6	0.22936717	rs17346134;rs6819911;rs2725772
HAUS4	3	2	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	3	0	3	11	5	0.21816213	rs8003201;rs11623624;rs3751498
FAM216A	3	2	neuro_systemic;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	16	8	0.20180154	rs684596;rs3759382;rs16940902
GPN3	3	2	neuro_systemic;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	16	8	0.20180154	rs684596;rs3759382;rs16940902
RAD9B	3	2	neuro_systemic;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	16	8	0.20180154	rs684596;rs3759382;rs16940902
VPS29	3	2	neuro_systemic;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	16	8	0.20180154	rs684596;rs3759382;rs16940902
PARP10	3	2	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	3	0	3	12	7	0.26020494	rs7459603;rs4977196;rs12542868
CANT1	2	2	mixed_trait_axis;systemic_other	2	moderate_0.2_0.5	core_exact_n10	2	2	0	2	15	8	0.27579799	rs9896857;rs9789049
LPCAT1	2	2	neuro_systemic;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	2	2	0	2	17	8	0.22485116	rs36993;rs7706238
INPP5B	2	2	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	6	0.26158838500000003	rs2306426;rs7513555
KIF5C	2	2	neural_enriched;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	2	2	0	2	22	6	0.198539555	rs4346318;rs6721330
SGCD	2	2	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	8	6	0.26822681	rs4704994;rs6555689
TRIP12	2	2	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	6	0.21819554	rs1599843;rs720041
NELFA	2	2	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	16	5	0.21517165500000002	rs506996;rs2754210
FNTA	2	2	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	21	7	0.350595145	rs6474422;rs4523300
RFFL	2	2	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	19	7	0.21089444000000002	rs3135983;rs8065886
ABCA2	2	2	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	11	6	0.29940328	rs6560653;rs12238250
GOLGA8A	2	2	neuro_systemic;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	12	6	0.26940511	rs3812940;rs35414723
PPP1R32	2	2	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	12	6	0.27915379	rs2924447;rs10792315
PPP3CC	2	2	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	1	2	0	2	12	6	0.326404495	rs6998654;rs2469764
ZC3H12C	2	2	neural_enriched;systemic_other	2	hidden_lt0.2	core_exact_n10	1	2	0	2	11	6	0.17854648	rs1648144;rs898847
LLGL2	2	2	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	11	5	0.218192675	rs871443;rs4238984
PMS2	2	2	neuro_systemic;systemic_other	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	13	6	0.311696925	rs889964;rs2286680
ASTL	2	2	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	14	5	0.26921898	rs4907301;rs11687113
CPSF1	2	2	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	6	5	0.21173176999999999	rs10111332;rs7016335
IL27RA	2	2	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	5	0.324332415	rs11085876;rs2306190
NFXL1	2	2	neuro_systemic;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	5	0.31557809000000003	rs10938546;rs2289433
CUEDC2	2	2	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	4	0.237753225	rs17770716;rs7897947
HS2ST1	2	2	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	12	4	0.27668967	rs1419132;rs17099785
SELENOF	2	2	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	12	4	0.27668967	rs1419132;rs17099785
SLC25A45	3	2	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	21	6	0.29280826	rs580933;rs664589;rs1194758
ADHFE1	2	2	neural_enriched	1	moderate_0.2_0.5	core_exact_n10	2	2	0	2	15	7	0.382314175	rs6997490;rs17322654
CHD2	2	2	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	5	0.21402534	rs10852181;rs1545189
ZRANB3	2	2	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	7	5	0.23614514999999997	rs10182977;rs2117511
FAM89B	2	2	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10	1	2	0	2	12	6	0.26714346499999997	rs664589;rs573864
ZNF445	2	2	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	4	4	0.20188661000000002	rs1876223;rs10865934
SMIM7	2	2	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	25	10	0.24095404	rs967886;rs2547112
LTBP3	2	2	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	12	6	0.265516365	rs664589;rs1194758
TMEM127	2	2	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	8	5	0.2965689	rs11687113;rs596069
TCAIM	2	2	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	4	0.23288649500000003	rs13087917;rs1876223
ZNF197	2	2	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	4	0.23288649500000003	rs13087917;rs1876223
ZNF502	2	2	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	4	0.23288649500000003	rs13087917;rs1876223
ZNF660	2	2	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	4	0.23288649500000003	rs13087917;rs1876223
ZNF852	2	2	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	4	0.23288649500000003	rs13087917;rs1876223
KCTD3	4	1	mixed_trait_axis;neural_enriched;neuro_systemic;systemic_other	4	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	4	0	4	15	7	0.340766215	rs1819739;rs2797390;rs2797393;rs17024879
CA2	5	1	neuro_systemic;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	4	5	0	5	10	6	0.21850413	rs11782151;rs987390;rs72682991;rs7826539;rs10504814
